day,date,state_id,state_name
1,2026-05-01,1,Ясно
2,2026-05-02,3,Облачно
3,2026-05-03,3,Облачно
4,2026-05-04,3,Облачно
5,2026-05-05,3,Облачно
6,2026-05-06,3,Облачно
7,2026-05-07,3,Облачно
8,2026-05-08,2,Перем. облачность
9,2026-05-09,3,Облачно
10,2026-05-10,1,Ясно
11,2026-05-11,3,Облачно
12,2026-05-12,3,Облачно
13,2026-05-13,3,Облачно
14,2026-05-14,1,Ясно
15,2026-05-15,2,Перем. облачность
16,2026-05-16,2,Перем. облачность
17,2026-05-17,2,Перем. облачность
18,2026-05-18,3,Облачно
19,2026-05-19,3,Облачно
20,2026-05-20,3,Облачно
21,2026-05-21,5,Дождь
22,2026-05-22,5,Дождь
23,2026-05-23,5,Дождь
24,2026-05-24,5,Дождь
25,2026-05-25,4,Пасмурно
26,2026-05-26,4,Пасмурно
27,2026-05-27,4,Пасмурно
28,2026-05-28,4,Пасмурно
29,2026-05-29,3,Облачно
30,2026-05-30,3,Облачно
31,2026-05-31,4,Пасмурно
32,2026-06-01,2,Перем. облачность
33,2026-06-02,2,Перем. облачность
34,2026-06-03,2,Перем. облачность
35,2026-06-04,2,Перем. облачность
36,2026-06-05,2,Перем. облачность
37,2026-06-06,2,Перем. облачность
38,2026-06-07,1,Ясно
39,2026-06-08,4,Пасмурно
40,2026-06-09,4,Пасмурно
41,2026-06-10,3,Облачно
42,2026-06-11,3,Облачно
43,2026-06-12,3,Облачно
44,2026-06-13,3,Облачно
45,2026-06-14,3,Облачно
46,2026-06-15,3,Облачно
47,2026-06-16,3,Облачно
48,2026-06-17,4,Пасмурно
49,2026-06-18,4,Пасмурно
50,2026-06-19,4,Пасмурно
51,2026-06-20,4,Пасмурно
52,2026-06-21,4,Пасмурно
53,2026-06-22,4,Пасмурно
54,2026-06-23,5,Дождь
55,2026-06-24,2,Перем. облачность
56,2026-06-25,4,Пасмурно
57,2026-06-26,3,Облачно
58,2026-06-27,3,Облачно
59,2026-06-28,3,Облачно
60,2026-06-29,3,Облачно
61,2026-06-30,1,Ясно
62,2026-07-01,1,Ясно
63,2026-07-02,1,Ясно
64,2026-07-03,1,Ясно
65,2026-07-04,1,Ясно
66,2026-07-05,1,Ясно
67,2026-07-06,1,Ясно
68,2026-07-07,1,Ясно
69,2026-07-08,3,Облачно
70,2026-07-09,3,Облачно
71,2026-07-10,3,Облачно
72,2026-07-11,3,Облачно
73,2026-07-12,4,Пасмурно
74,2026-07-13,3,Облачно
75,2026-07-14,3,Облачно
76,2026-07-15,3,Облачно
77,2026-07-16,3,Облачно
78,2026-07-17,5,Дождь
79,2026-07-18,5,Дождь
80,2026-07-19,4,Пасмурно
81,2026-07-20,4,Пасмурно
82,2026-07-21,4,Пасмурно
83,2026-07-22,4,Пасмурно
84,2026-07-23,4,Пасмурно
85,2026-07-24,4,Пасмурно
86,2026-07-25,1,Ясно
87,2026-07-26,1,Ясно
88,2026-07-27,1,Ясно
89,2026-07-28,1,Ясно
90,2026-07-29,1,Ясно
