day,date,state_id,state_name
1,2026-05-01,1,Ясно
2,2026-05-02,1,Ясно
3,2026-05-03,4,Пасмурно
4,2026-05-04,4,Пасмурно
5,2026-05-05,3,Облачно
6,2026-05-06,3,Облачно
7,2026-05-07,3,Облачно
8,2026-05-08,3,Облачно
9,2026-05-09,3,Облачно
10,2026-05-10,5,Дождь
11,2026-05-11,3,Облачно
12,2026-05-12,5,Дождь
13,2026-05-13,4,Пасмурно
14,2026-05-14,4,Пасмурно
15,2026-05-15,2,Перем. облачность
16,2026-05-16,2,Перем. облачность
17,2026-05-17,4,Пасмурно
18,2026-05-18,3,Облачно
19,2026-05-19,3,Облачно
20,2026-05-20,2,Перем. облачность
21,2026-05-21,2,Перем. облачность
22,2026-05-22,2,Перем. облачность
23,2026-05-23,1,Ясно
24,2026-05-24,2,Перем. облачность
25,2026-05-25,4,Пасмурно
26,2026-05-26,4,Пасмурно
27,2026-05-27,4,Пасмурно
28,2026-05-28,4,Пасмурно
29,2026-05-29,4,Пасмурно
30,2026-05-30,4,Пасмурно
31,2026-05-31,2,Перем. облачность
32,2026-06-01,3,Облачно
33,2026-06-02,3,Облачно
34,2026-06-03,3,Облачно
35,2026-06-04,1,Ясно
36,2026-06-05,1,Ясно
37,2026-06-06,3,Облачно
38,2026-06-07,3,Облачно
39,2026-06-08,4,Пасмурно
40,2026-06-09,2,Перем. облачность
41,2026-06-10,4,Пасмурно
42,2026-06-11,3,Облачно
43,2026-06-12,3,Облачно
44,2026-06-13,1,Ясно
45,2026-06-14,1,Ясно
46,2026-06-15,1,Ясно
47,2026-06-16,5,Дождь
48,2026-06-17,5,Дождь
49,2026-06-18,4,Пасмурно
50,2026-06-19,5,Дождь
51,2026-06-20,5,Дождь
52,2026-06-21,5,Дождь
53,2026-06-22,5,Дождь
54,2026-06-23,5,Дождь
55,2026-06-24,5,Дождь
56,2026-06-25,5,Дождь
57,2026-06-26,5,Дождь
58,2026-06-27,3,Облачно
59,2026-06-28,5,Дождь
60,2026-06-29,4,Пасмурно
61,2026-06-30,2,Перем. облачность
62,2026-07-01,2,Перем. облачность
63,2026-07-02,2,Перем. облачность
64,2026-07-03,2,Перем. облачность
65,2026-07-04,1,Ясно
66,2026-07-05,1,Ясно
67,2026-07-06,1,Ясно
68,2026-07-07,1,Ясно
69,2026-07-08,1,Ясно
70,2026-07-09,2,Перем. облачность
71,2026-07-10,2,Перем. облачность
72,2026-07-11,2,Перем. облачность
73,2026-07-12,2,Перем. облачность
74,2026-07-13,1,Ясно
75,2026-07-14,1,Ясно
76,2026-07-15,3,Облачно
77,2026-07-16,2,Перем. облачность
78,2026-07-17,2,Перем. облачность
79,2026-07-18,2,Перем. облачность
80,2026-07-19,3,Облачно
81,2026-07-20,5,Дождь
82,2026-07-21,3,Облачно
83,2026-07-22,4,Пасмурно
84,2026-07-23,3,Облачно
85,2026-07-24,3,Облачно
86,2026-07-25,1,Ясно
87,2026-07-26,3,Облачно
88,2026-07-27,3,Облачно
89,2026-07-28,3,Облачно
90,2026-07-29,3,Облачно
