day,date,state_id,state_name
1,2026-02-01,1,Ясно
2,2026-02-02,1,Ясно
3,2026-02-03,1,Ясно
4,2026-02-04,1,Ясно
5,2026-02-05,2,Перем. облачность
6,2026-02-06,2,Перем. облачность
7,2026-02-07,1,Ясно
8,2026-02-08,2,Перем. облачность
9,2026-02-09,2,Перем. облачность
10,2026-02-10,2,Перем. облачность
11,2026-02-11,2,Перем. облачность
12,2026-02-12,1,Ясно
13,2026-02-13,1,Ясно
14,2026-02-14,1,Ясно
15,2026-02-15,1,Ясно
16,2026-02-16,3,Облачно
17,2026-02-17,3,Облачно
18,2026-02-18,1,Ясно
19,2026-02-19,5,Дождь
20,2026-02-20,5,Дождь
21,2026-02-21,5,Дождь
22,2026-02-22,5,Дождь
23,2026-02-23,5,Дождь
24,2026-02-24,3,Облачно
25,2026-02-25,3,Облачно
26,2026-02-26,3,Облачно
27,2026-02-27,4,Пасмурно
28,2026-02-28,3,Облачно
29,2026-03-01,2,Перем. облачность
30,2026-03-02,1,Ясно
31,2026-03-03,1,Ясно
32,2026-03-04,3,Облачно
33,2026-03-05,4,Пасмурно
34,2026-03-06,5,Дождь
35,2026-03-07,5,Дождь
36,2026-03-08,5,Дождь
37,2026-03-09,3,Облачно
38,2026-03-10,3,Облачно
39,2026-03-11,3,Облачно
40,2026-03-12,3,Облачно
41,2026-03-13,3,Облачно
42,2026-03-14,2,Перем. облачность
43,2026-03-15,1,Ясно
44,2026-03-16,4,Пасмурно
45,2026-03-17,5,Дождь
46,2026-03-18,4,Пасмурно
47,2026-03-19,1,Ясно
48,2026-03-20,1,Ясно
49,2026-03-21,1,Ясно
50,2026-03-22,1,Ясно
51,2026-03-23,2,Перем. облачность
52,2026-03-24,3,Облачно
53,2026-03-25,3,Облачно
54,2026-03-26,3,Облачно
55,2026-03-27,3,Облачно
56,2026-03-28,1,Ясно
57,2026-03-29,1,Ясно
58,2026-03-30,1,Ясно
59,2026-03-31,1,Ясно
60,2026-04-01,2,Перем. облачность
61,2026-04-02,2,Перем. облачность
62,2026-04-03,2,Перем. облачность
63,2026-04-04,3,Облачно
64,2026-04-05,3,Облачно
65,2026-04-06,3,Облачно
66,2026-04-07,1,Ясно
67,2026-04-08,2,Перем. облачность
68,2026-04-09,3,Облачно
69,2026-04-10,3,Облачно
70,2026-04-11,3,Облачно
71,2026-04-12,4,Пасмурно
72,2026-04-13,2,Перем. облачность
73,2026-04-14,2,Перем. облачность
74,2026-04-15,3,Облачно
75,2026-04-16,4,Пасмурно
76,2026-04-17,4,Пасмурно
77,2026-04-18,4,Пасмурно
78,2026-04-19,4,Пасмурно
79,2026-04-20,4,Пасмурно
80,2026-04-21,2,Перем. облачность
81,2026-04-22,2,Перем. облачность
82,2026-04-23,5,Дождь
83,2026-04-24,4,Пасмурно
84,2026-04-25,5,Дождь
85,2026-04-26,3,Облачно
86,2026-04-27,3,Облачно
87,2026-04-28,3,Облачно
88,2026-04-29,3,Облачно
89,2026-04-30,1,Ясно
90,2026-05-01,1,Ясно
