day,date,state_id,state_name
1,2026-05-01,1,Ясно
2,2026-05-02,5,Дождь
3,2026-05-03,2,Перем. облачность
4,2026-05-04,2,Перем. облачность
5,2026-05-05,2,Перем. облачность
6,2026-05-06,2,Перем. облачность
7,2026-05-07,2,Перем. облачность
8,2026-05-08,2,Перем. облачность
9,2026-05-09,3,Облачно
10,2026-05-10,4,Пасмурно
11,2026-05-11,4,Пасмурно
12,2026-05-12,5,Дождь
13,2026-05-13,4,Пасмурно
14,2026-05-14,4,Пасмурно
15,2026-05-15,3,Облачно
16,2026-05-16,2,Перем. облачность
17,2026-05-17,2,Перем. облачность
18,2026-05-18,4,Пасмурно
19,2026-05-19,4,Пасмурно
20,2026-05-20,4,Пасмурно
21,2026-05-21,4,Пасмурно
22,2026-05-22,5,Дождь
23,2026-05-23,5,Дождь
24,2026-05-24,3,Облачно
25,2026-05-25,4,Пасмурно
26,2026-05-26,3,Облачно
27,2026-05-27,3,Облачно
28,2026-05-28,4,Пасмурно
29,2026-05-29,4,Пасмурно
30,2026-05-30,4,Пасмурно
31,2026-05-31,5,Дождь
32,2026-06-01,5,Дождь
33,2026-06-02,2,Перем. облачность
34,2026-06-03,1,Ясно
35,2026-06-04,2,Перем. облачность
36,2026-06-05,1,Ясно
37,2026-06-06,4,Пасмурно
38,2026-06-07,4,Пасмурно
39,2026-06-08,4,Пасмурно
40,2026-06-09,4,Пасмурно
41,2026-06-10,5,Дождь
42,2026-06-11,5,Дождь
43,2026-06-12,3,Облачно
44,2026-06-13,4,Пасмурно
45,2026-06-14,4,Пасмурно
46,2026-06-15,5,Дождь
47,2026-06-16,5,Дождь
48,2026-06-17,5,Дождь
49,2026-06-18,5,Дождь
50,2026-06-19,5,Дождь
51,2026-06-20,4,Пасмурно
52,2026-06-21,4,Пасмурно
53,2026-06-22,4,Пасмурно
54,2026-06-23,5,Дождь
55,2026-06-24,5,Дождь
56,2026-06-25,5,Дождь
57,2026-06-26,5,Дождь
58,2026-06-27,5,Дождь
59,2026-06-28,2,Перем. облачность
60,2026-06-29,2,Перем. облачность
61,2026-06-30,1,Ясно
62,2026-07-01,1,Ясно
63,2026-07-02,2,Перем. облачность
64,2026-07-03,2,Перем. облачность
65,2026-07-04,2,Перем. облачность
66,2026-07-05,2,Перем. облачность
67,2026-07-06,5,Дождь
68,2026-07-07,5,Дождь
69,2026-07-08,4,Пасмурно
70,2026-07-09,3,Облачно
71,2026-07-10,3,Облачно
72,2026-07-11,4,Пасмурно
73,2026-07-12,4,Пасмурно
74,2026-07-13,4,Пасмурно
75,2026-07-14,2,Перем. облачность
76,2026-07-15,2,Перем. облачность
77,2026-07-16,2,Перем. облачность
78,2026-07-17,2,Перем. облачность
79,2026-07-18,4,Пасмурно
80,2026-07-19,3,Облачно
81,2026-07-20,3,Облачно
82,2026-07-21,4,Пасмурно
83,2026-07-22,3,Облачно
84,2026-07-23,3,Облачно
85,2026-07-24,3,Облачно
86,2026-07-25,3,Облачно
87,2026-07-26,3,Облачно
88,2026-07-27,1,Ясно
89,2026-07-28,2,Перем. облачность
90,2026-07-29,2,Перем. облачность
