day,date,state_id,state_name
1,2026-05-01,1,Ясно
2,2026-05-02,2,Перем. облачность
3,2026-05-03,1,Ясно
4,2026-05-04,2,Перем. облачность
5,2026-05-05,1,Ясно
6,2026-05-06,2,Перем. облачность
7,2026-05-07,1,Ясно
8,2026-05-08,2,Перем. облачность
9,2026-05-09,2,Перем. облачность
10,2026-05-10,1,Ясно
11,2026-05-11,2,Перем. облачность
12,2026-05-12,3,Облачно
13,2026-05-13,2,Перем. облачность
14,2026-05-14,2,Перем. облачность
15,2026-05-15,2,Перем. облачность
16,2026-05-16,1,Ясно
17,2026-05-17,2,Перем. облачность
18,2026-05-18,4,Пасмурно
19,2026-05-19,2,Перем. облачность
20,2026-05-20,2,Перем. облачность
21,2026-05-21,2,Перем. облачность
22,2026-05-22,4,Пасмурно
23,2026-05-23,2,Перем. облачность
24,2026-05-24,2,Перем. облачность
25,2026-05-25,3,Облачно
26,2026-05-26,2,Перем. облачность
27,2026-05-27,2,Перем. облачность
28,2026-05-28,1,Ясно
29,2026-05-29,2,Перем. облачность
30,2026-05-30,5,Дождь
31,2026-05-31,2,Перем. облачность
32,2026-06-01,2,Перем. облачность
33,2026-06-02,1,Ясно
34,2026-06-03,2,Перем. облачность
35,2026-06-04,3,Облачно
36,2026-06-05,2,Перем. облачность
37,2026-06-06,1,Ясно
38,2026-06-07,2,Перем. облачность
39,2026-06-08,2,Перем. облачность
40,2026-06-09,2,Перем. облачность
41,2026-06-10,2,Перем. облачность
42,2026-06-11,3,Облачно
43,2026-06-12,2,Перем. облачность
44,2026-06-13,4,Пасмурно
45,2026-06-14,2,Перем. облачность
46,2026-06-15,1,Ясно
47,2026-06-16,2,Перем. облачность
48,2026-06-17,2,Перем. облачность
49,2026-06-18,1,Ясно
50,2026-06-19,2,Перем. облачность
51,2026-06-20,3,Облачно
52,2026-06-21,2,Перем. облачность
53,2026-06-22,2,Перем. облачность
54,2026-06-23,4,Пасмурно
55,2026-06-24,2,Перем. облачность
56,2026-06-25,3,Облачно
57,2026-06-26,2,Перем. облачность
58,2026-06-27,2,Перем. облачность
59,2026-06-28,3,Облачно
60,2026-06-29,2,Перем. облачность
61,2026-06-30,2,Перем. облачность
62,2026-07-01,2,Перем. облачность
63,2026-07-02,2,Перем. облачность
64,2026-07-03,4,Пасмурно
65,2026-07-04,2,Перем. облачность
66,2026-07-05,1,Ясно
67,2026-07-06,2,Перем. облачность
68,2026-07-07,2,Перем. облачность
69,2026-07-08,3,Облачно
70,2026-07-09,2,Перем. облачность
71,2026-07-10,2,Перем. облачность
72,2026-07-11,5,Дождь
73,2026-07-12,2,Перем. облачность
74,2026-07-13,1,Ясно
75,2026-07-14,2,Перем. облачность
76,2026-07-15,1,Ясно
77,2026-07-16,2,Перем. облачность
78,2026-07-17,4,Пасмурно
79,2026-07-18,2,Перем. облачность
80,2026-07-19,2,Перем. облачность
81,2026-07-20,2,Перем. облачность
82,2026-07-21,5,Дождь
83,2026-07-22,4,Пасмурно
84,2026-07-23,2,Перем. облачность
85,2026-07-24,2,Перем. облачность
86,2026-07-25,2,Перем. облачность
87,2026-07-26,2,Перем. облачность
88,2026-07-27,2,Перем. облачность
89,2026-07-28,2,Перем. облачность
90,2026-07-29,4,Пасмурно
