day,date,state_id,state_name
1,2026-05-01,1,Ясно
2,2026-05-02,1,Ясно
3,2026-05-03,1,Ясно
4,2026-05-04,1,Ясно
5,2026-05-05,1,Ясно
6,2026-05-06,3,Облачно
7,2026-05-07,2,Перем. облачность
8,2026-05-08,2,Перем. облачность
9,2026-05-09,2,Перем. облачность
10,2026-05-10,1,Ясно
11,2026-05-11,1,Ясно
12,2026-05-12,2,Перем. облачность
13,2026-05-13,2,Перем. облачность
14,2026-05-14,2,Перем. облачность
15,2026-05-15,1,Ясно
16,2026-05-16,1,Ясно
17,2026-05-17,1,Ясно
18,2026-05-18,2,Перем. облачность
19,2026-05-19,3,Облачно
20,2026-05-20,2,Перем. облачность
21,2026-05-21,2,Перем. облачность
22,2026-05-22,1,Ясно
23,2026-05-23,1,Ясно
24,2026-05-24,2,Перем. облачность
25,2026-05-25,2,Перем. облачность
26,2026-05-26,2,Перем. облачность
27,2026-05-27,3,Облачно
28,2026-05-28,1,Ясно
29,2026-05-29,1,Ясно
30,2026-05-30,4,Пасмурно
31,2026-05-31,4,Пасмурно
32,2026-06-01,4,Пасмурно
33,2026-06-02,3,Облачно
34,2026-06-03,3,Облачно
35,2026-06-04,3,Облачно
36,2026-06-05,3,Облачно
37,2026-06-06,2,Перем. облачность
38,2026-06-07,2,Перем. облачность
39,2026-06-08,2,Перем. облачность
40,2026-06-09,2,Перем. облачность
41,2026-06-10,2,Перем. облачность
42,2026-06-11,2,Перем. облачность
43,2026-06-12,2,Перем. облачность
44,2026-06-13,1,Ясно
45,2026-06-14,1,Ясно
46,2026-06-15,4,Пасмурно
47,2026-06-16,4,Пасмурно
48,2026-06-17,4,Пасмурно
49,2026-06-18,5,Дождь
50,2026-06-19,5,Дождь
51,2026-06-20,5,Дождь
52,2026-06-21,4,Пасмурно
53,2026-06-22,4,Пасмурно
54,2026-06-23,4,Пасмурно
55,2026-06-24,3,Облачно
56,2026-06-25,3,Облачно
57,2026-06-26,2,Перем. облачность
58,2026-06-27,4,Пасмурно
59,2026-06-28,2,Перем. облачность
60,2026-06-29,2,Перем. облачность
61,2026-06-30,2,Перем. облачность
62,2026-07-01,2,Перем. облачность
63,2026-07-02,2,Перем. облачность
64,2026-07-03,2,Перем. облачность
65,2026-07-04,3,Облачно
66,2026-07-05,5,Дождь
67,2026-07-06,5,Дождь
68,2026-07-07,4,Пасмурно
69,2026-07-08,3,Облачно
70,2026-07-09,5,Дождь
71,2026-07-10,4,Пасмурно
72,2026-07-11,3,Облачно
73,2026-07-12,3,Облачно
74,2026-07-13,5,Дождь
75,2026-07-14,5,Дождь
76,2026-07-15,5,Дождь
77,2026-07-16,4,Пасмурно
78,2026-07-17,5,Дождь
79,2026-07-18,5,Дождь
80,2026-07-19,4,Пасмурно
81,2026-07-20,4,Пасмурно
82,2026-07-21,4,Пасмурно
83,2026-07-22,4,Пасмурно
84,2026-07-23,4,Пасмурно
85,2026-07-24,3,Облачно
86,2026-07-25,4,Пасмурно
87,2026-07-26,5,Дождь
88,2026-07-27,2,Перем. облачность
89,2026-07-28,4,Пасмурно
90,2026-07-29,5,Дождь
